latitude,longitude,value
-11.0,121.25,3.8619254
-11.0,122.5,4.003863
-11.0,123.125,4.139021
-10.5,120.0,4.029913
-10.5,120.625,3.9159398
-10.5,121.25,3.885551
-10.5,121.875,3.9666617
-10.5,123.125,4.267718
-10.5,123.75,4.4995503
-10.5,124.375,4.413114
-10.0,118.75,3.9712157
-10.0,119.375,4.053937
-10.0,120.0,3.7557106
-10.0,120.625,3.8351245
-10.0,123.125,4.067887
-10.0,123.75,3.9823499
-10.0,124.375,3.9224114
-10.0,125.0,3.6641853
-9.5,118.75,3.7470744
-9.5,119.375,3.4410834
-9.5,120.0,3.3046672
-9.5,120.625,3.7740748
-9.5,123.75,3.6954718
-9.5,124.375,2.8662393
-9.5,125.0,3.4437504
-9.5,125.625,3.9011853
-9.0,114.375,4.6448593
-9.0,115.0,4.7122316
-9.0,115.625,4.5559187
-9.0,116.25,4.2739515
-9.0,116.875,3.596162
-9.0,117.5,3.277851
-9.0,118.125,3.5649066
-9.0,118.75,3.5877106
-9.0,119.375,3.289582
-9.0,120.0,3.0446463
-9.0,120.625,2.8735793
-9.0,121.25,2.7505405
-9.0,121.875,2.8938742
-9.0,122.5,3.0714564
-9.0,124.375,3.599265
-9.0,125.0,2.9871233
-9.0,125.625,2.5463424
-9.0,126.25,3.2890835
-9.0,126.875,3.6721585
-8.5,110.625,5.5234165
-8.5,111.25,5.2771773
-8.5,111.875,5.050096
-8.5,112.5,4.8826694
-8.5,113.125,4.9430327
-8.5,113.75,4.319313
-8.5,114.375,3.6125326
-8.5,115.0,3.5922391
-8.5,115.625,3.8854785
-8.5,116.25,3.5292075
-8.5,116.875,3.0916245
-8.5,117.5,2.6724644
-8.5,118.125,3.3843052
-8.5,118.75,3.1479197
-8.5,119.375,3.1517534
-8.5,120.0,2.749183
-8.5,120.625,2.0219455
-8.5,121.25,2.34398
-8.5,121.875,2.5200145
-8.5,122.5,2.586902
-8.5,123.125,2.8225844
-8.5,123.75,2.9919496
-8.5,124.375,2.9179742
-8.5,125.0,2.7328575
-8.5,125.625,3.152125
-8.5,126.25,3.338809
-8.5,126.875,3.6556957
-8.5,127.5,3.6518443
-8.0,107.5,5.8663435
-8.0,108.125,5.5201826
-8.0,108.75,5.52277
-8.0,109.375,5.6631236
-8.0,110.0,5.295188
-8.0,110.625,5.0257215
-8.0,111.25,4.5710382
-8.0,111.875,4.3799314
-8.0,112.5,3.730672
-8.0,113.125,4.109428
-8.0,113.75,3.5756176
-8.0,114.375,3.3761227
-8.0,115.0,3.3104994
-8.0,115.625,3.4517941
-8.0,117.5,2.7994542
-8.0,118.125,2.8207848
-8.0,118.75,2.9146798
-8.0,119.375,2.9844007
-8.0,121.875,2.498354
-8.0,122.5,2.6491556
-8.0,123.125,2.7108374
-8.0,123.75,2.883531
-8.0,124.375,2.8299222
-8.0,125.0,3.0231419
-7.5,106.25,5.91886
-7.5,106.875,5.7404876
-7.5,107.5,5.0125422
-7.5,108.125,4.4185324
-7.5,108.75,4.3988047
-7.5,109.375,4.4380155
-7.5,110.0,3.9713345
-7.5,110.625,4.273801
-7.5,111.25,3.9282792
-7.5,111.875,3.8504672
-7.5,112.5,3.1541479
-7.5,113.125,3.5641003
-7.5,113.75,3.3323421
-7.5,114.375,3.37723
-7.5,115.625,3.0785425
-7.5,116.875,2.8013427
-7.5,117.5,2.794342
-7.5,118.125,2.8537676
-7.0,105.0,5.232378
-7.0,105.625,5.57478
-7.0,106.25,5.233448
-7.0,106.875,4.2835493
-7.0,107.5,3.3730726
-7.0,108.125,3.2676477
-7.0,108.75,4.0957184
-7.0,109.375,3.936819
-7.0,110.0,3.3109655
-7.0,110.625,3.4702222
-7.0,111.25,3.4573762
-7.0,111.875,3.472107
-7.0,112.5,3.045044
-7.0,113.125,3.1039824
-7.0,113.75,3.1166508
-7.0,114.375,3.1561532
-7.0,115.0,3.1185308
-7.0,115.625,3.0182328
-7.0,116.25,2.9487314
-7.0,118.125,2.8584425
-7.0,118.75,2.915699
-7.0,119.375,2.9293199
-6.5,105.0,5.0634546
-6.5,105.625,5.160924
-6.5,106.25,4.367932
-6.5,106.875,3.4654915
-6.5,107.5,3.0433578
-6.5,108.125,3.212636
-6.5,108.75,4.0330205
-6.5,110.625,3.1699445
-6.5,111.25,3.276898
-6.5,111.875,3.176767
-6.5,115.625,2.903657
-6.5,118.125,2.8419533
-6.5,118.75,2.848785
-6.0,105.625,4.906851
-6.0,106.25,4.2086253
-6.0,106.875,3.5696335
-6.0,107.5,3.277564
-6.0,108.125,3.3724391
-6.0,110.0,3.1511605
-6.0,110.625,3.136545
-6.0,112.5,2.8279355
-5.5,106.25,4.1437078
-5.5,106.875,3.5716176
-5.5,114.375,2.7497096
-5.0,114.375,2.7491338
-5.0,115.625,2.797294
-4.5,115.625,2.922658
-4.5,116.25,2.8331206
