latitude,longitude,value,date
-8.0,107.5,4.7566338,20200101
-8.0,107.5,4.4558306,20200201
-8.0,107.5,4.559792,20200301
-8.0,107.5,5.079304,20200401
-8.0,107.5,7.218359,20200501
-8.0,107.5,8.943982,20200601
-8.0,107.5,8.704146,20200701
-8.0,107.5,8.538864,20200801
-8.0,107.5,8.191115,20200901
-8.0,107.5,7.6315246,20201001
-8.0,107.5,6.25743,20201101
-8.0,107.5,5.6555133,20201201
-8.0,107.5,6.128001,20210101
-8.0,107.5,6.91332,20210201
-8.0,107.5,4.2559266,20210301
-8.0,107.5,5.873055,20210401
-8.0,107.5,6.7495837,20210501
-8.0,107.5,5.5462813,20210601
-8.0,107.5,7.8189416,20210701
-8.0,107.5,8.782161,20210801
-8.0,107.5,8.68353,20210901
-8.0,107.5,6.715511,20211001
-8.0,107.5,4.1522794,20211101
-8.0,107.5,4.6389146,20211201
-8.0,107.5,5.351424,20220101
-8.0,107.5,6.420905,20220201
-8.0,107.5,4.542018,20220301
-8.0,107.5,4.355335,20220401
-8.0,107.5,5.0858855,20220501
-8.0,107.5,6.060962,20220601
-8.0,107.5,8.169821,20220701
-8.0,107.5,8.1113825,20220801
-8.0,107.5,7.859995,20220901
-8.0,107.5,5.8663435,20221001
-8.0,107.5,5.1170344,20221101
-8.0,107.5,5.611517,20221201
-8.0,107.5,5.6381383,20230101
-8.0,107.5,8.397958,20230201
-8.0,107.5,5.4263015,20230301
-8.0,107.5,7.360768,20230501
-8.0,107.5,7.505024,20230601
-8.0,108.125,4.757133,20200101
-8.0,108.125,4.2137775,20200201
-8.0,108.125,4.430752,20200301
-8.0,108.125,4.751179,20200401
-8.0,108.125,6.682608,20200501
-8.0,108.125,8.227686,20200601
-8.0,108.125,7.8012347,20200701
-8.0,108.125,7.606383,20200801
-8.0,108.125,7.1985884,20200901
-8.0,108.125,6.92497,20201001
-8.0,108.125,5.7948823,20201101
-8.0,108.125,5.6774726,20201201
-8.0,108.125,5.887711,20210101
-8.0,108.125,6.1536074,20210201
-8.0,108.125,4.01747,20210301
-8.0,108.125,5.3132715,20210401
-8.0,108.125,6.074685,20210501
-8.0,108.125,4.9572997,20210601
-8.0,108.125,7.0355334,20210701
-8.0,108.125,7.9172015,20210801
-8.0,108.125,7.7484536,20210901
-8.0,108.125,5.872071,20211001
-8.0,108.125,3.963718,20211101
-8.0,108.125,4.5413756,20211201
-8.0,108.125,5.5612783,20220101
-8.0,108.125,5.956155,20220201
-8.0,108.125,4.4454722,20220301
-8.0,108.125,4.04256,20220401
-8.0,108.125,4.566836,20220501
-8.0,108.125,5.416,20220601
-8.0,108.125,7.370207,20220701
-8.0,108.125,7.2487416,20220801
-8.0,108.125,7.185956,20220901
-8.0,108.125,5.5201826,20221001
-8.0,108.125,4.933361,20221101
-8.0,108.125,5.414537,20221201
-8.0,108.125,5.835926,20230101
-8.0,108.125,8.022266,20230201
-8.0,108.125,4.831829,20230301
-8.0,108.125,6.649582,20230501
-8.0,108.125,6.7603693,20230601
-8.0,108.75,4.459028,20200101
-8.0,108.75,3.7010653,20200201
-8.0,108.75,4.1628447,20200301
-8.0,108.75,4.6611686,20200401
-8.0,108.75,6.5268626,20200501
-8.0,108.75,8.162288,20200601
-8.0,108.75,7.8472333,20200701
-8.0,108.75,7.6401215,20200801
-8.0,108.75,7.2534204,20200901
-8.0,108.75,6.9787464,20201001
-8.0,108.75,5.797475,20201101
-8.0,108.75,5.321794,20201201
-8.0,108.75,5.190897,20210101
-8.0,108.75,5.174846,20210201
-8.0,108.75,3.7094088,20210301
-8.0,108.75,5.0186634,20210401
-8.0,108.75,6.0408835,20210501
-8.0,108.75,4.872458,20210601
-8.0,108.75,6.994239,20210701
-8.0,108.75,7.970332,20210801
-8.0,108.75,7.6980953,20210901
-8.0,108.75,5.819983,20211001
-8.0,108.75,3.8231204,20211101
-8.0,108.75,4.2344475,20211201
-8.0,108.75,5.290797,20220101
-8.0,108.75,5.249287,20220201
-8.0,108.75,4.0550113,20220301
-8.0,108.75,3.7734385,20220401
-8.0,108.75,4.2230687,20220501
-8.0,108.75,5.251656,20220601
-8.0,108.75,7.240454,20220701
-8.0,108.75,7.316931,20220801
-8.0,108.75,7.2007723,20220901
-8.0,108.75,5.52277,20221001
-8.0,108.75,4.7443404,20221101
-8.0,108.75,5.202407,20221201
-8.0,108.75,5.6012654,20230101
-8.0,108.75,6.917231,20230201
-8.0,108.75,4.4161744,20230301
-8.0,108.75,6.643653,20230501
-8.0,108.75,6.6985598,20230601
-7.5,106.25,4.0768867,20200101
-7.5,106.25,4.005738,20200201
-7.5,106.25,4.0665383,20200301
-7.5,106.25,4.6699724,20200401
-7.5,106.25,6.1387825,20200501
-7.5,106.25,8.16614,20200601
-7.5,106.25,8.739841,20200701
-7.5,106.25,8.628056,20200801
-7.5,106.25,8.957525,20200901
-7.5,106.25,7.649476,20201001
-7.5,106.25,6.085587,20201101
-7.5,106.25,5.4661684,20201201
-7.5,106.25,6.0146737,20210101
-7.5,106.25,6.4015,20210201
-7.5,106.25,3.9285712,20210301
-7.5,106.25,6.1054397,20210401
-7.5,106.25,6.033496,20210501
-7.5,106.25,4.9493246,20210601
-7.5,106.25,7.265859,20210701
-7.5,106.25,9.036907,20210801
-7.5,106.25,8.998616,20210901
-7.5,106.25,7.136818,20211001
-7.5,106.25,4.3357716,20211101
-7.5,106.25,4.210937,20211201
-7.5,106.25,4.385376,20220101
-7.5,106.25,5.896198,20220201
-7.5,106.25,4.2470546,20220301
-7.5,106.25,3.831069,20220401
-7.5,106.25,4.591139,20220501
-7.5,106.25,5.4102163,20220601
-7.5,106.25,7.5266633,20220701
-7.5,106.25,8.526332,20220801
-7.5,106.25,7.9590263,20220901
-7.5,106.25,5.91886,20221001
-7.5,106.25,4.6844783,20221101
-7.5,106.25,5.399468,20221201
