bps_kota_nama,bps_kecamatan_nama,bps_kecamatan_kode,latitude,longitude,date,humidity,humidity_q1,humidity_q2,humidity_flag,precipitation,precipitation_q1,precipitation_q2,precipitation_flag,return,period
KABUPATEN INDRAMAYU,ANJATAN,3212210,-6.34849,107.95499,20230702,90.715134,70,75,extreme,63.249693,0,2.163299,extreme,1,jul_2023
KABUPATEN INDRAMAYU,ANJATAN,3212210,-6.34849,107.95499,20230709,91.922845,70,75,extreme,72.000172,0,2.163299,extreme,2,jul_2023
KABUPATEN INDRAMAYU,ANJATAN,3212210,-6.34849,107.95499,20230716,92.559448,70,75,extreme,77.103467,0,2.163299,extreme,3,jul_2023
KABUPATEN INDRAMAYU,ANJATAN,3212210,-6.34849,107.95499,20230723,92.982848,70,75,extreme,80.720069,0,2.163299,extreme,4,jul_2023
KABUPATEN INDRAMAYU,ANJATAN,3212210,-6.34849,107.95499,20230730,93.296081,71.25,76,extreme,83.523551,0,0.627151,extreme,5,aug_2023
KABUPATEN INDRAMAYU,ANJATAN,3212210,-6.34849,107.95499,20230806,93.542609,71.25,76,extreme,85.813253,0,0.627151,extreme,6,aug_2023
KABUPATEN INDRAMAYU,ANJATAN,3212210,-6.34849,107.95499,20230813,93.744685,71.25,76,extreme,87.74864,0,0.627151,extreme,7,aug_2023
KABUPATEN INDRAMAYU,ANJATAN,3212210,-6.34849,107.95499,20230820,93.915161,71.25,76,extreme,89.424814,0,0.627151,extreme,8,aug_2023
KABUPATEN INDRAMAYU,ANJATAN,3212210,-6.34849,107.95499,20230827,94.062102,71.25,76,extreme,90.90308,0,0.627151,extreme,9,aug_2023
KABUPATEN INDRAMAYU,ANJATAN,3212210,-6.34849,107.95499,20230903,94.190881,66.125,74,extreme,92.225276,0,6.216963,extreme,10,sep_2023
KABUPATEN INDRAMAYU,ANJATAN,3212210,-6.34849,107.95499,20230910,94.305252,66.125,74,extreme,93.421232,0,6.216963,extreme,11,sep_2023
