bps_provinsi_nama,bps_kota_nama,bps_kecamatan_nama,bps_kecamatan_kode,latitude,longitude,date,temperature,temperature_extreme_perc,is_temperature_extreme
JAWA BARAT,KABUPATEN INDRAMAYU,HAURGEULIS,3212010,-6.46413,107.94734,2023-07-02,35.43739243,11.36,TRUE
JAWA BARAT,KABUPATEN INDRAMAYU,HAURGEULIS,3212010,-6.46413,107.94734,2023-07-09,35.70896107,12.03,TRUE
JAWA BARAT,KABUPATEN INDRAMAYU,HAURGEULIS,3212010,-6.46413,107.94734,2023-07-16,35.8429027,12.36,TRUE
JAWA BARAT,KABUPATEN INDRAMAYU,HAURGEULIS,3212010,-6.46413,107.94734,2023-07-23,35.92836034,12.57,TRUE
JAWA BARAT,KABUPATEN INDRAMAYU,HAURGEULIS,3212010,-6.46413,107.94734,2023-07-30,35.98968128,12.72,TRUE
JAWA BARAT,KABUPATEN INDRAMAYU,HAURGEULIS,3212010,-6.46413,107.94734,2023-08-06,36.03678972,11.1,TRUE
JAWA BARAT,KABUPATEN INDRAMAYU,HAURGEULIS,3212010,-6.46413,107.94734,2023-08-13,36.07463708,11.19,TRUE
JAWA BARAT,KABUPATEN INDRAMAYU,HAURGEULIS,3212010,-6.46413,107.94734,2023-08-20,36.10602343,11.27,TRUE
JAWA BARAT,KABUPATEN INDRAMAYU,HAURGEULIS,3212010,-6.46413,107.94734,2023-08-27,36.13267455,11.33,TRUE
JAWA BARAT,KABUPATEN INDRAMAYU,HAURGEULIS,3212010,-6.46413,107.94734,2023-09-03,36.15572333,8.8,TRUE
JAWA BARAT,KABUPATEN INDRAMAYU,HAURGEULIS,3212010,-6.46413,107.94734,2023-09-10,36.17595028,8.85,TRUE
JAWA BARAT,KABUPATEN INDRAMAYU,HAURGEULIS,3212010,-6.46413,107.94734,2023-09-17,36.19391408,8.89,TRUE
JAWA BARAT,KABUPATEN INDRAMAYU,HAURGEULIS,3212010,-6.46413,107.94734,2023-09-24,36.21002726,8.93,TRUE
JAWA BARAT,KABUPATEN INDRAMAYU,HAURGEULIS,3212010,-6.46413,107.94734,2023-10-01,36.22460235,11.13,TRUE
JAWA BARAT,KABUPATEN INDRAMAYU,HAURGEULIS,3212010,-6.46413,107.94734,2023-10-08,36.23788134,11.16,TRUE
JAWA BARAT,KABUPATEN INDRAMAYU,HAURGEULIS,3212010,-6.46413,107.94734,2023-10-15,36.25005507,11.19,TRUE
JAWA BARAT,KABUPATEN INDRAMAYU,HAURGEULIS,3212010,-6.46413,107.94734,2023-10-22,36.26127649,11.22,TRUE
JAWA BARAT,KABUPATEN INDRAMAYU,HAURGEULIS,3212010,-6.46413,107.94734,2023-10-29,36.27166989,11.24,TRUE
JAWA BARAT,KABUPATEN INDRAMAYU,HAURGEULIS,3212010,-6.46413,107.94734,2023-11-05,36.28133757,7.22,TRUE
JAWA BARAT,KABUPATEN INDRAMAYU,HAURGEULIS,3212010,-6.46413,107.94734,2023-11-12,36.29036458,7.24,TRUE
JAWA BARAT,KABUPATEN INDRAMAYU,HAURGEULIS,3212010,-6.46413,107.94734,2023-11-19,36.29882238,7.26,TRUE
JAWA BARAT,KABUPATEN INDRAMAYU,HAURGEULIS,3212010,-6.46413,107.94734,2023-11-26,36.30677153,7.28,TRUE
JAWA BARAT,KABUPATEN INDRAMAYU,HAURGEULIS,3212010,-6.46413,107.94734,2023-12-03,36.31426374,13.07,TRUE
JAWA BARAT,KABUPATEN INDRAMAYU,HAURGEULIS,3212010,-6.46413,107.94734,2023-12-10,36.32134351,13.08,TRUE
JAWA BARAT,KABUPATEN INDRAMAYU,KROYA,3212020,-6.49986,108.06111,2023-07-02,35.43739243,11.36,TRUE
JAWA BARAT,KABUPATEN INDRAMAYU,KROYA,3212020,-6.49986,108.06111,2023-07-09,35.70896107,12.03,TRUE
JAWA BARAT,KABUPATEN INDRAMAYU,KROYA,3212020,-6.49986,108.06111,2023-07-16,35.8429027,12.36,TRUE
JAWA BARAT,KABUPATEN INDRAMAYU,KROYA,3212020,-6.49986,108.06111,2023-07-23,35.92836034,12.57,TRUE
JAWA BARAT,KABUPATEN INDRAMAYU,KROYA,3212020,-6.49986,108.06111,2023-07-30,35.98968128,12.72,TRUE
JAWA BARAT,KABUPATEN INDRAMAYU,KROYA,3212020,-6.49986,108.06111,2023-08-06,36.03678972,11.1,TRUE
JAWA BARAT,KABUPATEN INDRAMAYU,KROYA,3212020,-6.49986,108.06111,2023-08-13,36.07463708,11.19,TRUE
JAWA BARAT,KABUPATEN INDRAMAYU,KROYA,3212020,-6.49986,108.06111,2023-08-20,36.10602343,11.27,TRUE
JAWA BARAT,KABUPATEN INDRAMAYU,KROYA,3212020,-6.49986,108.06111,2023-08-27,36.13267455,11.33,TRUE
JAWA BARAT,KABUPATEN INDRAMAYU,KROYA,3212020,-6.49986,108.06111,2023-09-03,36.15572333,8.8,TRUE
JAWA BARAT,KABUPATEN INDRAMAYU,KROYA,3212020,-6.49986,108.06111,2023-09-10,36.17595028,8.85,TRUE
JAWA BARAT,KABUPATEN INDRAMAYU,KROYA,3212020,-6.49986,108.06111,2023-09-17,36.19391408,8.89,TRUE
JAWA BARAT,KABUPATEN INDRAMAYU,KROYA,3212020,-6.49986,108.06111,2023-09-24,36.21002726,8.93,TRUE
JAWA BARAT,KABUPATEN INDRAMAYU,KROYA,3212020,-6.49986,108.06111,2023-10-01,36.22460235,11.13,TRUE
JAWA BARAT,KABUPATEN INDRAMAYU,KROYA,3212020,-6.49986,108.06111,2023-10-08,36.23788134,11.16,TRUE
JAWA BARAT,KABUPATEN INDRAMAYU,KROYA,3212020,-6.49986,108.06111,2023-10-15,36.25005507,11.19,TRUE
JAWA BARAT,KABUPATEN INDRAMAYU,KROYA,3212020,-6.49986,108.06111,2023-10-22,36.26127649,11.22,TRUE
JAWA BARAT,KABUPATEN INDRAMAYU,KROYA,3212020,-6.49986,108.06111,2023-10-29,36.27166989,11.24,TRUE
JAWA BARAT,KABUPATEN INDRAMAYU,KROYA,3212020,-6.49986,108.06111,2023-11-05,36.28133757,7.22,TRUE
JAWA BARAT,KABUPATEN INDRAMAYU,KROYA,3212020,-6.49986,108.06111,2023-11-12,36.29036458,7.24,TRUE
JAWA BARAT,KABUPATEN INDRAMAYU,KROYA,3212020,-6.49986,108.06111,2023-11-19,36.29882238,7.26,TRUE
JAWA BARAT,KABUPATEN INDRAMAYU,KROYA,3212020,-6.49986,108.06111,2023-11-26,36.30677153,7.28,TRUE
JAWA BARAT,KABUPATEN INDRAMAYU,KROYA,3212020,-6.49986,108.06111,2023-12-03,36.31426374,13.07,TRUE
JAWA BARAT,KABUPATEN INDRAMAYU,KROYA,3212020,-6.49986,108.06111,2023-12-10,36.32134351,13.08,TRUE
JAWA BARAT,KABUPATEN INDRAMAYU,GABUSWETAN,3212030,-6.41469,108.08112,2023-07-02,35.43739243,11.36,TRUE
JAWA BARAT,KABUPATEN INDRAMAYU,GABUSWETAN,3212030,-6.41469,108.08112,2023-07-09,35.70896107,12.03,TRUE
JAWA BARAT,KABUPATEN INDRAMAYU,GABUSWETAN,3212030,-6.41469,108.08112,2023-07-16,35.8429027,12.36,TRUE
JAWA BARAT,KABUPATEN INDRAMAYU,GABUSWETAN,3212030,-6.41469,108.08112,2023-07-23,35.92836034,12.57,TRUE
JAWA BARAT,KABUPATEN INDRAMAYU,GABUSWETAN,3212030,-6.41469,108.08112,2023-07-30,35.98968128,12.72,TRUE
JAWA BARAT,KABUPATEN INDRAMAYU,GABUSWETAN,3212030,-6.41469,108.08112,2023-08-06,36.03678972,11.1,TRUE
JAWA BARAT,KABUPATEN INDRAMAYU,GABUSWETAN,3212030,-6.41469,108.08112,2023-08-13,36.07463708,11.19,TRUE
JAWA BARAT,KABUPATEN INDRAMAYU,GABUSWETAN,3212030,-6.41469,108.08112,2023-08-20,36.10602343,11.27,TRUE
JAWA BARAT,KABUPATEN INDRAMAYU,GABUSWETAN,3212030,-6.41469,108.08112,2023-08-27,36.13267455,11.33,TRUE
JAWA BARAT,KABUPATEN INDRAMAYU,GABUSWETAN,3212030,-6.41469,108.08112,2023-09-03,36.15572333,8.8,TRUE
JAWA BARAT,KABUPATEN INDRAMAYU,GABUSWETAN,3212030,-6.41469,108.08112,2023-09-10,36.17595028,8.85,TRUE
JAWA BARAT,KABUPATEN INDRAMAYU,GABUSWETAN,3212030,-6.41469,108.08112,2023-09-17,36.19391408,8.89,TRUE
JAWA BARAT,KABUPATEN INDRAMAYU,GABUSWETAN,3212030,-6.41469,108.08112,2023-09-24,36.21002726,8.93,TRUE
JAWA BARAT,KABUPATEN INDRAMAYU,GABUSWETAN,3212030,-6.41469,108.08112,2023-10-01,36.22460235,11.13,TRUE
JAWA BARAT,KABUPATEN INDRAMAYU,GABUSWETAN,3212030,-6.41469,108.08112,2023-10-08,36.23788134,11.16,TRUE
JAWA BARAT,KABUPATEN INDRAMAYU,GABUSWETAN,3212030,-6.41469,108.08112,2023-10-15,36.25005507,11.19,TRUE
JAWA BARAT,KABUPATEN INDRAMAYU,GABUSWETAN,3212030,-6.41469,108.08112,2023-10-22,36.26127649,11.22,TRUE
JAWA BARAT,KABUPATEN INDRAMAYU,GABUSWETAN,3212030,-6.41469,108.08112,2023-10-29,36.27166989,11.24,TRUE
JAWA BARAT,KABUPATEN INDRAMAYU,GABUSWETAN,3212030,-6.41469,108.08112,2023-11-05,36.28133757,7.22,TRUE
JAWA BARAT,KABUPATEN INDRAMAYU,GABUSWETAN,3212030,-6.41469,108.08112,2023-11-12,36.29036458,7.24,TRUE
JAWA BARAT,KABUPATEN INDRAMAYU,GABUSWETAN,3212030,-6.41469,108.08112,2023-11-19,36.29882238,7.26,TRUE
JAWA BARAT,KABUPATEN INDRAMAYU,GABUSWETAN,3212030,-6.41469,108.08112,2023-11-26,36.30677153,7.28,TRUE
JAWA BARAT,KABUPATEN INDRAMAYU,GABUSWETAN,3212030,-6.41469,108.08112,2023-12-03,36.31426374,13.07,TRUE
